CountryName;CountryCode;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aruba;ABW;33050,64428;34550,91789;35369,99629;36817,55398;38584,92616;38366,07179;37663,96356;39115,81311;38714,05869;38059,97048;39934,24386;40874,88563;40007,79002;40050,61655;42586,36728;41999,79252;41974,40628;42743,22647;42990,87354;37505,12184;36069,47673;36936,14636;36256,75835;38300,54122;37433,08409;36963,07855;37377,50229;39797,66141;40544,4253;39432,12893;29935,07028;38226,14616;42260,45184;
Africa Eastern and Southern;AFE;3415,748255;3322,200097;3163,323087;3055,997216;3026,94471;3082,01626;3168,042433;3213,19808;3194,238709;3199,608659;3220,259146;3253,78015;3295,025254;3311,325909;3412,047479;3535,563277;3675,221934;3822,579518;3892,152786;3824,013482;3921,778029;3983,110618;3990,0803;4048,089185;4108,190054;4129,05512;4125,361392;4135,767937;4142,950313;4130,057222;3919,49923;3994,171654;4038,638689;4047,007031
Afghanistan;AFG;;;;;;;;;;;1666,44865;1498,104567;1806,234167;1822,978484;1777,454069;1907,597014;1928,294216;2155,898161;2196,100368;2572,589589;2858,126965;2766,342096;2994,486319;3054,451571;3024,98212;2974,573322;2964,287173;2956,769925;2906,8426;2933,958598;2776,561521;2138,870247;1955,212904;
Africa Western and Central;AFW;3328,880333;3281,244716;3264,422787;3143,151891;3060,305972;3047,568792;3107,677404;3164,298519;3195,928237;3165,31628;3193,502118;3266,631477;3465,036966;3549,73396;3719,207853;3824,095862;3915,981207;4008,773182;4139,436849;4264,667446;4427,472707;4513,117059;4622,827813;4765,675813;4907,922414;4914,572318;4807,016637;4800,643789;4817,203494;4853,281083;4690,062986;4756,308419;4816,956916;4857,987533
Angola;AGO;7265,348208;7097,336901;6469,343693;4764,728323;4676,551258;5203,992461;5715,308545;5929,948066;6007,863201;5944,016144;5930,050938;5979,758245;6573,985194;6543,34643;7009,695739;7781,432788;8373,928138;9205,887001;9865,308923;9589,347625;9644,123987;9610,845737;10046,99109;10158,14407;10262,84701;9991,6025;9390,918271;9049,962667;8626,725816;8280,180391;7562,087367;7414,278958;7407,105292;7247,476442
Albania;ALB;5377,944657;3895,416288;3637,44035;4009,548655;4369,195613;4981,953274;5469,197266;4902,527996;5369,07631;6099,703925;6565,112704;7176,613374;7524,713235;7970,493165;8445,261138;8957,709655;9546,493012;10194,43535;11043,43898;11491,045;11976,32147;12314,25044;12509,41565;12657,93173;12909,2408;13234,14406;13694,73108;14228,56707;14837,02493;15211,44331;14793,85289;16261,80455;17260,11947;18059,93791
Andorra;AND;49128,7343;48684,60344;47550,92735;45570,41691;45218,61399;45069,21914;46268,53627;50046,61569;51246,19303;52965,73723;54467,87389;57394,17838;57438,20107;59848,7888;62172,34847;63153,45313;65864,3918;68644,1164;66629,14934;64978,05432;65772,533;66654,47288;62940,98187;60406,96092;61700,23709;62476,06576;64084,51493;63176,70714;63174,26202;63324,80411;55260,34119;58829,85007;63818,30927;64526,5561
Arab World;ARB;10988,38872;10780,12924;11148,98303;11135,89616;11152,82479;11178,04899;11437,78519;11719,98058;12087,54147;12102,59599;12600,09779;12561,10891;12372,05083;12567,10023;13381,81054;13760,56999;14214,85311;14481,21579;14906,14985;14670,88716;15009,14663;15277,92236;15576,34943;15582,3929;15621,79382;15910,03325;16195,88161;16152,60908;16278,61212;16297,67723;15320,10979;15776,98485;16398,33292;16286,10788
United Arab Emirates;ARE;107947,2311;103008,3431;101028,779;97376,9717;99366,34172;101440,1643;101534,2203;102914,5694;97031,24341;94160,13035;98713,83633;94911,81948;92419,93652;95812,71598;100249,3969;98053,51342;94114,00232;81010,14517;70245,98081;58202,03071;55724,7277;58543,73508;58994,31041;61361,57047;63309,31096;66992,24015;70109,72765;70048,50358;70410,82239;70638,73273;66590,39551;68912,54555;73724,30716;75627,05491
Argentina;ARG;17073,15808;18369,01072;19553,82534;20873,21919;21795,84069;20898,53191;21777,30835;23263,24402;23880,73138;22807,98215;22373,03678;21152,85678;18647,09986;20086,51232;21679,00256;23355,33078;24975,01871;26952,09378;27768,68438;25861,54357;28407,43057;29767,77241;29129,16902;29497,85259;28442,24819;28905,76135;28006,7737;28499,03425;27472,61025;26656,79392;23785,78438;26086,80236;27127,4391;26466,54656
