country;Country Code;1990 [YR1990];1991 [YR1991];1992 [YR1992];1993 [YR1993];1994 [YR1994];1995 [YR1995];1996 [YR1996];1997 [YR1997];1998 [YR1998];1999 [YR1999];2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021];2022 [YR2022];2023;2024
Dominican Republic;DOM;67,11;67,625;68,084;68,472;68,792;68,988;69,097;69,166;69,096;69,279;69,423;69,642;69,923;70,265;70,331;70,875;71,165;71,371;71,658;71,871;72,093;72,221;72,514;72,713;72,867;72,953;72,987;73,063;73,232;73,577;72,889;72,615;74,17;73.72;74.55
Ecuador;ECU;69,348;69,625;70,117;70,345;70,757;71,041;71,362;71,681;72,045;72,463;72,839;73,24;73,613;73,975;74,279;74,514;74,689;74,844;74,983;75,184;75,43;75,743;76,062;76,369;76,622;76,789;76,763;76,972;77,094;77,297;72,153;73,67;77,894;77.392;78.27
Egypt;EGY;64,146;64,755;65,031;65,468;65,816;66,312;66,742;67,197;67,471;67,737;68,007;68,308;68,564;68,402;68,613;68,779;68,977;69,128;69,319;69,48;69,664;69,88;70,085;70,052;70,415;70,483;70,844;71,302;71,367;71,358;70,99;70,221;70,159;71.633;72.2
El Salvador;SLV;62,55;63,856;64,657;65,235;65,838;66,33;67,076;67,895;68,478;69,379;69,865;69,598;70,232;70,14;70,34;70,44;70,773;71,108;71,424;71,576;71,848;71,859;71,831;71,771;71,746;71,814;72,025;72,311;72,555;72,559;71,061;70,748;71,475;72.099;73.58
Equatorial Guinea;GNQ;50,86;50,969;51,113;51,308;51,415;51,592;51,727;52,061;52,382;52,752;53,226;53,636;54,085;54,581;55,036;55,464;56,046;56,54;57,074;57,431;57,878;58,412;58,865;59,224;59,595;60,103;60,479;60,821;61,191;61,644;60,708;60,594;61,19;63.707;62.46
Eritrea;ERI;49,769;50,607;52,465;53,234;54,1;54,914;55,756;56,312;49,158;43,397;56,111;58,298;58,811;59,409;59,899;60,597;61,611;62,116;62,573;63,328;63,787;64,402;64,838;65,067;65,6;66,033;66,289;66,577;67,067;67,3;67,133;66,536;66,604;68.624;68.73
Estonia;EST;69,47560976;69,37317073;68,86341463;67,9097561;66,5;67,54390244;69,61219512;69,8097561;69,35853659;70,06341463;70,41707317;70,25853659;70,90487805;71,31707317;71,9097561;72,56829268;72,69146341;72,81463415;73,77073171;74,82439024;75,42926829;76,22926829;76,32682927;77,14146341;77,03414634;77,5902439;77,64146341;78,09268293;78,24390244;78,64634146;78,59512195;76,94390244;77,94390244;79.153;79.48
Ethiopia;ETH;44,557;46,13;46,901;47,394;47,861;48,302;48,924;49,514;49,927;49,425;50,538;51,043;51,517;52,533;53,235;54,008;55,149;56,426;57,592;58,804;59,73;60,721;61,543;62,373;62,905;63,649;64,392;64,838;65,412;65,838;65,371;64,975;65,645;67.315;67.3
Fiji;FJI;65,508;65,643;65,827;65,928;66,125;66,286;66,408;66,448;66,68;66,763;66,31;66,34;65,748;66,177;66,424;66,632;66,855;66,826;66,935;67,089;67,328;67,523;67,552;67,428;67,376;66,844;67,24;67,79;67,81;67,893;67,924;67,114;68,312;67.316;68.59
Finland;FIN;74,81317073;75,22756098;75,45536585;75,70512195;76,39560976;76,4095122;76,69341463;76,87853659;77,09073171;77,29121951;77,46585366;77,96585366;78,1195122;78,36829268;78,71463415;78,81707317;79,21463415;79,26341463;79,56829268;79,7195122;79,87073171;80,47073171;80,62682927;80,97560976;81,1804878;81,4804878;81,42926829;81,63170732;81,73414634;81,98292683;81,93170732;81,88536585;81,18780488;81.91;82.68
