region;status;area;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Republic of Karakalpakstan;marriage;city;7756;7982;7431;7490;6630;6236;5641;6234;6643;6748;5327;7535;6906;6160
Andijan region;marriage;city;13108;11893;13923;14568;13473;12392;12617;13274;14656;15073;14796;14526;13432;12717
Bukhara region;marriage;city;16528;16914;12285;6276;6301;5709;5665;6021;5611;5721;5422;6412;6805;6110
Jizzakh region;marriage;city;4004;4355;4572;4961;5244;5074;4841;5356;6160;6031;5726;6021;6118;6178
Kashkadarya region;marriage;city;12231;12555;13403;13634;13728;13549;12387;12741;13447;12868;12942;12521;12991;12471
Navoi region;marriage;city;4356;4500;3867;4645;4163;4193;3997;3905;3707;4096;3811;4436;4559;4163
Namangan region;marriage;city;12542;12391;12678;13876;14071;12548;11107;16259;16746;17262;16013;16526;15595;14991
Samarkand region;marriage;city;11116;10492;11339;11287;10355;10460;10291;11164;11294;10991;9875;12244;11936;10598
Surkhandarya region;marriage;city;7063;7280;8467;7444;7591;7875;7270;9210;8882;9324;8602;9265;9258;8478
Syrdarya region;marriage;city;4289;4458;4532;4964;3231;3293;2706;2909;3495;4358;4387;3863;5574;3450
Tashkent region;marriage;city;10158;10099;10242;10275;10701;10356;10313;10720;11628;11288;10537;11021;8602;9287
Fergana region;marriage;city;18121;17247;17251;18047;17344;16155;15701;16827;18235;17677;18000;16885;19237;17628
Khorezm region;marriage;city;3981;4646;5041;4705;4611;4385;4296;4912;4950;4995;4542;5135;5580;5158
Republic of Karakalpakstan;marriage;village;10040;9938;9255;9035;8405;7555;7119;7875;7807;7511;6234;8211;7951;7405
Andijan region;marriage;village;14839;14846;15105;16049;14291;15919;13524;15441;15686;14925;12929;12214;12415;12338
Bukhara region;marriage;village;1763;774;5386;11162;10571;10590;10125;10308;10454;10253;10349;10511;9395;9603
Jizzakh region;marriage;village;6870;6270;6577;7035;6398;6212;6502;7704;7808;7800;8203;7297;6598;5685
Kashkadarya region;marriage;village;14506;14786;16222;17553;17784;17719;16173;19024;18147;18307;17905;18061;19198;18437
Navoi region;marriage;village;5203;5522;5881;4671;5016;4844;4631;5020;5305;4843;5269;4774;3951;3788
Namangan region;marriage;village;11132;10699;11464;11234;11227;12147;11585;10077;9703;9709;8942;8512;7859;8273
Samarkand region;marriage;village;25183;23923;23490;25035;23821;23411;23793;27144;26155;25168;23510;24026;22120;21611
Surkhandarya region;marriage;village;15222;15512;18455;17041;16615;15458;14894;18837;17948;18357;16188;17232;17504;16396
Syrdarya region;marriage;village;2714;2656;2675;2711;4339;3918;4134;4504;4814;4204;4516;4202;2136;3762
Tashkent region;marriage;village;14040;13945;13868;14242;13247;12081;11145;13001;13501;14241;15585;14671;14595;12020
Fergana region;marriage;village;15240;14226;14850;15322;15215;14705;14967;17096;17213;17282;16067;15919;12815;13493
Khorezm region;marriage;village;11372;11446;11646;12811;12419;11807;10636;11485;11082;10798;9449;10408;11056;11256
Republic of Karakalpakstan;divorce;city;593;492;525;691;836;728;666;832;827;790;628;904;1207;1178
Andijan region;divorce;city;856;1239;937;1331;1733;1553;1641;1763;2134;2105;1817;2374;3152;3135
Bukhara region;divorce;city;657;522;655;775;1000;1004;870;973;931;924;813;1113;1431;1259
Jizzakh region;divorce;city;286;231;236;438;518;506;533;605;631;553;538;656;944;980
Kashkadarya region;divorce;city;519;530;556;707;982;1037;1120;1133;948;917;1189;1587;1930;1790
Navoi region;divorce;city;418;562;488;638;717;711;615;721;571;533;514;694;830;883
Namangan region;divorce;city;1164;978;952;1313;1656;1433;1402;1722;1700;1567;1396;2259;3112;2978
Samarkand region;divorce;city;1116;1022;1061;1358;1535;1497;1575;2018;1781;1615;1430;1948;2261;2065
Surkhandarya region;divorce;city;231;281;359;495;645;720;653;846;812;833;725;961;1255;1331
Syrdarya region;divorce;city;373;284;327;417;486;482;523;597;651;684;641;798;1180;1038
Tashkent region;divorce;city;1227;1466;1255;1735;1995;2195;1956;2047;2084;2076;1536;2074;2268;2244
Fergana region;divorce;city;968;1371;1149;1623;1973;2079;2128;2158;1855;1877;1697;2661;3690;3732
Khorezm region;divorce;city;459;281;291;372;458;446;545;632;482;472;512;674;892;1014
Republic of Karakalpakstan;divorce;village;277;186;234;291;377;406;409;477;517;453;400;563;860;755
Andijan region;divorce;village;512;640;539;872;1115;1301;1295;1401;2015;1545;1308;1571;1861;2345
Bukhara region;divorce;village;196;335;387;544;706;770;763;849;824;800;704;971;1130;1226
Jizzakh region;divorce;village;263;238;171;254;270;293;396;516;467;526;530;627;786;699
Kashkadarya region;divorce;village;277;269;282;437;629;717;718;819;678;650;821;1280;1541;1586
Navoi region;divorce;village;127;199;230;302;365;416;411;394;426;409;417;530;601;609
Namangan region;divorce;village;511;648;556;475;523;680;721;796;808;825;708;912;1277;1417
Samarkand region;divorce;village;741;816;726;1052;1252;1562;1736;1989;1944;1853;1531;2226;2643;2574
Surkhandarya region;divorce;village;269;351;364;498;697;742;769;966;1073;1056;875;1303;1549;1716
Syrdarya region;divorce;village;265;211;242;280;267;318;385;498;461;420;452;613;581;544
Tashkent region;divorce;village;991;952;890;1255;1435;1382;1370;1573;1656;1507;1422;2012;2812;2582
Fergana region;divorce;village;505;683;554;816;985;1030;1155;1340;1215;1315;1144;1634;1761;2041
Khorezm region;divorce;village;456;276;291;425;556;550;607;693;543;555;586;833;1245;1308
