Location;Iso2;Iso3;Time;Value
Azerbaijan;AZ;AZE;1990;7231077
Azerbaijan;AZ;AZE;1991;7314308
Azerbaijan;AZ;AZE;1992;7405780
Azerbaijan;AZ;AZE;1993;7504115
Azerbaijan;AZ;AZE;1994;7608893
Azerbaijan;AZ;AZE;1995;7719281.5
Azerbaijan;AZ;AZE;1996;7830982
Azerbaijan;AZ;AZE;1997;7936221.5
Azerbaijan;AZ;AZE;1998;8025804
Azerbaijan;AZ;AZE;1999;8100471.5
Azerbaijan;AZ;AZE;2000;8174785.5
Azerbaijan;AZ;AZE;2001;8251770.5
Azerbaijan;AZ;AZE;2002;8326133.5
Azerbaijan;AZ;AZE;2003;8400530
Azerbaijan;AZ;AZE;2004;8489874
Azerbaijan;AZ;AZE;2005;8597248
Azerbaijan;AZ;AZE;2006;8711380
Azerbaijan;AZ;AZE;2007;8828311.5
Azerbaijan;AZ;AZE;2008;8942638.5
Azerbaijan;AZ;AZE;2009;9046336
Azerbaijan;AZ;AZE;2010;9146850.5
Azerbaijan;AZ;AZE;2011;9256150
Azerbaijan;AZ;AZE;2012;9376180.5
Azerbaijan;AZ;AZE;2013;9504409
Azerbaijan;AZ;AZE;2014;9631138
Azerbaijan;AZ;AZE;2015;9752850
Azerbaijan;AZ;AZE;2016;9868428
Azerbaijan;AZ;AZE;2017;9968509.5
Azerbaijan;AZ;AZE;2018;10039784.5
Azerbaijan;AZ;AZE;2019;10110475
Azerbaijan;AZ;AZE;2020;10181730
Azerbaijan;AZ;AZE;2021;10234370.5
Azerbaijan;AZ;AZE;2022;10295304
Azerbaijan;AZ;AZE;2023;10318207
Azerbaijan;AZ;AZE;2024;10336577.5
Armenia;AM;ARM;1990;3552127.5
Armenia;AM;ARM;1991;3613976.5
Armenia;AM;ARM;1992;3571861.5
Armenia;AM;ARM;1993;3453332.5
Armenia;AM;ARM;1994;3364610
Armenia;AM;ARM;1995;3307581.5
Armenia;AM;ARM;1996;3278735.5
Armenia;AM;ARM;1997;3246289
Armenia;AM;ARM;1998;3208401
Armenia;AM;ARM;1999;3167286
Armenia;AM;ARM;2000;3125628.5
Armenia;AM;ARM;2001;3084349.5
Armenia;AM;ARM;2002;3055630
Armenia;AM;ARM;2003;3038968.5
Armenia;AM;ARM;2004;3022541
Armenia;AM;ARM;2005;3006351
Armenia;AM;ARM;2006;2990377
Armenia;AM;ARM;2007;2974819
Armenia;AM;ARM;2008;2959990
Armenia;AM;ARM;2009;2945516.5
Armenia;AM;ARM;2010;2931078
Armenia;AM;ARM;2011;2923270.5
Armenia;AM;ARM;2012;2922527.5
Armenia;AM;ARM;2013;2922518
