region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;age;sex
Republic of Karakalpakstan;53570;53813;55530;56209;56210;54869;54273;55092;56395;56715;58031;60012;0-2;female
Andijan region;83519;84900;89821;94245;96312;95808;94507;98884;106399;115669;120353;123955;0-2;female
Bukhara region;48638;49362;51605;53681;54607;54049;54144;55314;57575;59892;62094;64248;0-2;female
Jizzakh region;36412;36755;38869;41437;43162;43302;43941;46370;50084;54185;56650;58056;0-2;female
Kashkadarya region;92181;95097;99759;103270;106317;107378;107798;111144;117753;126600;132852;138366;0-2;female
Navoi region;25944;26256;27245;28100;28996;29085;29729;30414;32215;34549;36494;37866;0-2;female
Namangan region;72919;75563;80155;85020;87182;86600;89055;93862;100337;107455;112952;117569;0-2;female
Samarkand region;106664;108397;113488;118315;121243;121223;124662;129702;136815;144883;151675;157814;0-2;female
Surkhandarya region;76390;77677;79456;82996;86073;87399;89035;93184;98736;105916;111037;117047;0-2;female
Syrdarya region;22515;22747;23511;24412;24647;24776;24880;26500;28199;30768;32100;33060;0-2;female
Tashkent region;76510;75922;77679;79677;80690;78814;78641;82019;87834;92367;98721;103260;0-2;female
Fergana region;98392;99319;103371;108726;111220;110472;111002;115528;124524;134111;140719;146668;0-2;female
Khorezm region;50537;51452;53803;55928;56467;54995;55109;55940;58175;59519;61508;64424;0-2;female
Tashkent city;54617;54797;56701;58461;60775;61928;64211;67838;74919;84683;94766;103385;0-2;female
Republic of Karakalpakstan;54447;55452;54296;53928;54176;56049;56897;56912;55176;54241;54888;56302;3-5;female
Andijan region;86405;88930;85907;84181;85357;90195;94649;96710;95998;94502;98757;106676;3-5;female
Bukhara region;48547;49474;48814;48528;49191;51384;53308;54184;53501;53798;55017;57562;3-5;female
Jizzakh region;38478;38843;37527;36835;37046;39170;41799;43524;43446;43944;46272;50148;3-5;female
Kashkadarya region;90112;92045;91910;94788;97350;101376;104790;107622;107617;107600;110853;118300;3-5;female
Navoi region;25535;25976;25878;26004;26412;27466;28515;29370;29269;29764;30431;32226;3-5;female
Namangan region;75582;74848;73585;72839;75435;79991;84814;86941;86297;88729;93515;100415;3-5;female
