uzname;runame;enname;2021-M01;2021-M02;2021-M03;2021-M04;2021-M05;2021-M06;2021-M07;2021-M08;2021-M09;2021-M10;2021-11;2021-M12;2022-M01;2022-M02;2022-M03;2022-M04;2022-M05;2022-M06;2022-M07;2022-M08;2022-M09;2022-M10;2022-M11;2022-M12;2023-M01;2023-M02;2023-M03;2023-M04;2023-M05;2023-M06;2023-M07;2023-M08;2023-M09;2023-M10;2023-M11;2023-M12;2024-M01;2024-M02;2024-M03;2024-M04;2024-M05;2024-M06;2024-M07;2024-M08;2024-M09;2024-M10;2024-M11
Guruch;???;Rice;10092,2;10125,6;10123,8;10159,4;10155,8;10122,9;10109,5;10124;10050,4;9935,1;9912,3;9742,3;9758,3;9787,8;9788;9559,5;9675,7;10027,2;10161;10694,1;11192,8;11706,4;12035,5;12447,3;14854,7;16217,9;17342,1;18116,5;18890,2;19501,3;19793,9;20152,3;20436,3;20380,8;20292,9;20280,5;20255;20034,1;19910,9;20044,7;20250,1;20318;20445,5;20524,1;20876,7;20467,8;19837,8
Arpa;??????;Barley;2842,8;2873,1;2911,4;3011,2;3145,4;3175,9;3165,2;3176,8;3178,4;3222,2;3365,7;3501,8;3526,4;3563,4;3627,3;3771,8;3908,6;4015;4013,4;4134,9;4115,2;4179,1;4415,1;4421;4268,6;4402,5;4428;4435,3;4363,7;4282,6;4165,2;4076,8;4080,4;4094,9;3991,7;3905,3;3863,3;3821,2;3809,8;3797,2;3783,2;3763,8;3700;3639,8;3636,3;3632,6;3635
Bugdoy;???????;Wheat;3254,8;3261,3;3260,2;3346,2;3444,4;3377,5;3232;3198,5;3203,4;3259,5;3403,5;3515,3;3585,9;3677,1;3739,1;3856,2;4035,2;4392,8;4358;4351,6;4335,1;4351,7;4394;4417,1;4253,7;4272,3;4285,1;4240,6;4175,1;4121,3;3843,7;3689,5;3649;3698,5;3656,9;3637,2;3618,6;3593,6;3584,5;3595;3589,8;3519,6;3338,4;3258,6;3275;3301,3;3316,2
Johori;????????;Corn;3313;3334,2;3383,8;3505,6;3652,6;3684,5;3695,4;3691,2;3645,8;3587;3618,4;3692,8;3725,2;3767,1;3802,5;3922,3;4101,5;4327,3;4487,3;4535,7;4445;4396,4;4385,2;4385,8;4200,9;4250,4;4300;4347,2;4330,5;4420,9;4334,8;4160,9;4011,3;3917,4;3813,1;3753,1;3687,1;3602,7;3596,6;3644,9;3679,4;3705,8;3732,2;3745,7;3732,1;3673,7;3660,4
Kepak;??????;Bran;2114;2114,7;2168,9;2352,6;2489,2;2499,7;2510,1;2533;2546,4;2566,9;2626,4;2682;2676,7;2743,7;2777,4;2817,5;2858,5;2934,6;2952,3;3072,7;3087,5;3148,6;3165,7;3183,7;3109,8;3142,7;3146,7;3146,7;3175,8;3282,3;3246,4;3228,5;3219;3190,2;3154,3;3120,2;3090,5;3033,5;3009,8;2999,6;3031,2;3011,8;2973,7;2945,4;2941,1;2914,9;2873,6
Shrot;????;Schroth;3141,4;3144,8;3048,9;3169,1;3337,4;3364,1;3431,4;3474;3500,2;3517,8;3553,4;3606,3;3573,4;3592,8;3618,2;3644,2;3709,7;3827;3889,2;3946,7;3984;4086,5;4178,2;4208,3;4324,8;4374;4403,4;4452,1;4507,1;4551,9;4555,6;4549,6;4546,4;4541,5;4507,8;4458,9;4417,5;4324,8;4284,2;4289,2;4339;4375,7;4403,8;4473,9;4607,4;4650,6;4627,9
Shulxa;??????;Husk;2448,5;2460,3;2497,2;2640,4;2840;2882,3;2910,4;2934,2;2963,4;2975,4;3029,1;3086,9;3093,2;3139,4;3220;3250;3286,7;3343,5;3406,7;3435,8;3494,1;3583,7;3649,3;3665;3831,9;3862,8;3879,3;3893,5;3885,2;3885,9;3896,2;3918,8;3970,2;3978,2;3967,1;3916,9;3853,8;3747,1;3682,8;3670,7;3715,7;3758,8;3776;3803,3;3862,7;3888,7;3874,6
Kombikorm;?????????;Compound feed;2276,2;2327,7;2416,7;2510,6;2651,2;2691,1;2727,9;2763,4;2771;2776,9;2853,8;2880,5;2840,6;2921,5;3051,6;3134,8;3237,4;3344,3;3455,4;3450,4;3543;3604,4;3667,1;3728,8;3725,2;3782,4;3753,9;3738;3721,9;3814,8;3811,1;3824,3;3824,3;3819,5;3808,7;3812,9;3767,3;3715,2;3695,1;3709,8;3715,1;3711,9;3704,2;3702,9;3724,1;3741,4;3736,8
Un(oliy navli);????(???????);High-grade wheat flour;5385,7;5494,9;5637,4;5683,3;5695,5;5675,1;5669,2;5712,1;5719,4;5768,2;5845,3;5881,9;5848,7;5927,6;5957,6;6044,7;6283,9;7219,8;7385,7;7473,5;7638,9;8393,9;8655,6;8919,7;9428,5;9486,7;9472,6;9327,1;9124;9009,2;8898,6;8699,5;8886,1;9283,7;9318,2;9319,9;9158;9145;9130,7;9155,6;9197,7;9206;9219,6;9242,1;9569,7;9614,9;9580,9
Un(1-navli);????(??????? ?????);First grade wheat flour;4119,8;4134,4;4128,1;4234,5;4265,4;4258,3;4261,9;4275,7;4277,5;4298,8;4343,6;4379,7;4417,3;4465,5;4477,5;4569,3;4875,9;5932,7;6009,7;6070,8;6195,8;6705,3;6781,3;6841,7;7233,7;7143,7;7043,3;6799;6538,7;6431,3;6304,6;6174,3;6463,5;6813,2;6800,1;6813,2;6703,7;6619,7;6567,4;6549,9;6501,7;6467,9;6464,1;6461,2;6477,6;6493,1;6500,8
