Bundesland;Stadt;Kreis / Landkreis;FreizügG/EU_m;FreizügG/EU_w; Niederlassungserlaubnis_m; Niederlassungserlaubnis_w;Befristete_AE_m;Befristete_AE_w;Ausbildung_m;Ausbildung_w;Erwerb_m;Erwerb_w;AE_human_m;AE_human_w;AE_family_m;AE_family_w;NVisa_m;NVisa_w;Antrag_m;Antrag_w;Duldung_m;Duldung_w;AEgestattung_m;AEgestattung_w;OhneAT_m;OhneAT_w
Schleswig-Holstein;Flensburg; kreisfreie Stadt;0;0;0;5;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Schleswig-Holstein;Kiel; kreisfreie Stadt;0;0;10;10;10;15;0;5;0;0;5;5;5;5;0;0;0;0;0;0;0;0;5;0
Schleswig-Holstein;Lübeck; kreisfreie Stadt;0;0;10;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schleswig-Holstein;Dithmarschen; Landkreis;0;0;0;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schleswig-Holstein;Nordfriesland; Landkreis;0;0;0;0;15;15;5;0;5;0;5;10;0;0;0;0;0;0;0;0;0;0;5;0
Schleswig-Holstein;Pinneberg; Landkreis;0;0;10;10;25;30;0;0;5;0;15;20;5;5;0;0;0;5;0;0;0;0;5;0
Schleswig-Holstein;Rendsburg-Eckernförde; Landkreis;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0
Schleswig-Holstein;Schleswig-Flensburg; Landkreis;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schleswig-Holstein;Segeberg; Landkreis;0;0;5;10;5;10;0;5;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0;5
Schleswig-Holstein;Steinburg; Landkreis;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
Schleswig-Holstein;Stormarn; Landkreis;0;0;0;5;10;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0
Hamburg;Hamburg; kreisfreie Stadt;0;0;60;65;80;75;25;15;15;15;30;20;10;25;0;0;15;25;5;0;0;0;15;5
Niedersachsen;Braunschweig; kreisfreie Stadt;0;0;0;10;10;5;0;0;5;0;5;0;0;5;0;0;5;0;0;0;0;0;10;0
Niedersachsen;Salzgitter; kreisfreie Stadt;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Wolfsburg; kreisfreie Stadt;0;0;5;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Goslar; Landkreis;0;0;0;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Northeim; Landkreis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Niedersachsen;Wolfenbüttel; Landkreis;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Niedersachsen;Göttingen; Landkreis;0;0;5;10;15;20;5;5;5;0;0;0;5;15;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Region Hannover; Landkreis;0;0;60;80;50;40;30;10;10;10;0;0;10;15;0;0;10;15;0;0;0;0;15;5
Niedersachsen;Diepholz; Landkreis;0;0;5;5;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;10;0
Niedersachsen;Hameln-Pyrmont; Landkreis;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Hildesheim; Landkreis;0;0;5;5;5;5;0;0;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0
Niedersachsen;Holzminden; Landkreis;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Nienburg (Weser); Landkreis;0;0;0;0;5;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Schaumburg; Landkreis;0;0;0;5;5;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Cuxhaven; Landkreis;0;0;0;0;15;5;5;0;10;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Harburg; Landkreis;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Niedersachsen;Lüneburg; Landkreis;0;0;5;5;5;5;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Osterholz; Landkreis;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Rotenburg (Wümme); Landkreis;0;0;0;0;10;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Stade; Landkreis;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Uelzen; Landkreis;0;0;5;0;5;5;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Verden; Landkreis;0;0;5;5;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Delmenhorst; kreisfreie Stadt;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Niedersachsen;Oldenburg (Oldenburg); kreisfreie Stadt;0;0;15;10;10;10;0;0;5;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Osnabrück; kreisfreie Stadt;0;0;10;15;10;10;0;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;5;0
Niedersachsen;Ammerland; Landkreis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Aurich; Landkreis;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Niedersachsen;Cloppenburg; Landkreis;0;0;5;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Emsland; Landkreis;0;0;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
Niedersachsen;Grafschaft Bentheim; Landkreis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
Niedersachsen;Oldenburg; Landkreis;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Osnabrück; Landkreis;0;0;10;15;0;5;0;0;0;0;0;0;0;5;0;0;0;5;0;0;0;0;5;0
